project_id,sector,implementing_agency,sanctioned_cost_cr,sanctioned_duration_months,start_date,elapsed_time_pct,fund_utilization_pct,physical_progress_pct,cost_overrun_pct,delay_months,risk_label,project_name
PRJ0001,Urban Infrastructure,State PWD,99.3,24,2021-03-13,41.0,32.1,26.2,12.6,5.1,Medium,State PWD Urban Infrastructure Phase 0001
PRJ0002,Irrigation,Indian Railways,19.65,36,2023-08-17,30.1,30.0,27.5,17.2,4.1,Medium,Indian Railways Irrigation Phase 0002
PRJ0003,Railways,Municipal Corporation,69.71,24,2023-11-05,81.3,76.8,72.0,17.9,4.4,Medium,Municipal Corporation Railways Phase 0003
PRJ0004,Roads & Highways,Municipal Corporation,52.84,24,2020-11-24,31.8,22.0,17.2,17.4,6.5,Medium,Municipal Corporation Roads & Highways Phase 0004
PRJ0005,Power,CPWD,14.7,36,2021-02-04,52.9,43.7,31.1,18.7,9.8,Medium,CPWD Power Phase 0005
PRJ0006,Railways,CPWD,204.58,60,2022-08-02,65.9,54.6,48.2,27.8,18.5,Medium,CPWD Railways Phase 0006
PRJ0007,Railways,NHAI,79.68,12,2022-12-14,38.2,38.0,36.9,11.1,2.5,Medium,NHAI Railways Phase 0007
PRJ0008,Power,NTPC,144.97,36,2019-05-14,69.4,44.9,45.0,16.5,12.5,Medium,NTPC Power Phase 0008
PRJ0009,Irrigation,NTPC,9.66,24,2020-11-20,136.9,128.6,120.0,23.6,4.8,Medium,NTPC Irrigation Phase 0009
PRJ0010,Power,NHAI,21.58,36,2019-07-19,78.3,53.3,54.0,34.7,9.2,High,NHAI Power Phase 0010
PRJ0011,Urban Infrastructure,CPWD,75.75,24,2020-01-01,133.7,112.3,105.9,13.3,7.5,Medium,CPWD Urban Infrastructure Phase 0011
PRJ0012,Roads & Highways,State PWD,146.39,48,2022-12-17,50.5,48.4,43.0,9.3,5.1,Low,State PWD Roads & Highways Phase 0012
PRJ0013,Roads & Highways,NTPC,221.65,48,2019-01-13,86.2,66.1,51.4,19.7,15.5,Medium,NTPC Roads & Highways Phase 0013
PRJ0014,Power,CPWD,22.59,18,2021-10-01,74.4,46.6,36.7,29.0,5.7,High,CPWD Power Phase 0014
PRJ0015,Power,NHAI,33.58,18,2022-02-15,104.9,85.2,73.0,23.2,9.7,High,NHAI Power Phase 0015
PRJ0016,Power,NTPC,211.65,18,2022-12-16,81.7,81.2,68.2,25.2,4.7,Medium,NTPC Power Phase 0016
PRJ0017,Roads & Highways,Municipal Corporation,458.16,48,2020-08-09,54.2,48.0,47.2,19.3,4.3,Medium,Municipal Corporation Roads & Highways Phase 0017
PRJ0018,Roads & Highways,NHAI,40.57,24,2021-07-20,122.1,106.3,101.8,14.9,3.1,Medium,NHAI Roads & Highways Phase 0018
PRJ0019,Railways,NTPC,27.44,60,2021-07-18,58.7,58.6,60.8,15.9,9.1,Medium,NTPC Railways Phase 0019
PRJ0020,Roads & Highways,NHAI,64.56,18,2022-07-30,128.7,122.9,119.5,8.2,2.7,Low,NHAI Roads & Highways Phase 0020
PRJ0021,Urban Infrastructure,CPWD,139.69,24,2023-08-20,137.1,97.8,78.9,36.3,8.5,High,CPWD Urban Infrastructure Phase 0021
PRJ0022,Irrigation,NHAI,22.57,18,2019-02-02,84.3,56.6,46.9,30.1,8.8,High,NHAI Irrigation Phase 0022
PRJ0023,Roads & Highways,Municipal Corporation,665.59,18,2021-11-27,137.7,109.4,111.3,28.6,1.9,Medium,Municipal Corporation Roads & Highways Phase 0023
PRJ0024,Roads & Highways,Municipal Corporation,21.5,36,2023-04-05,55.3,44.2,39.8,12.2,6.8,Medium,Municipal Corporation Roads & Highways Phase 0024
PRJ0025,Irrigation,CPWD,47.63,60,2023-10-01,123.8,88.9,74.2,33.1,29.9,High,CPWD Irrigation Phase 0025
PRJ0026,Railways,NHAI,140.06,24,2023-02-28,132.3,83.1,64.3,32.1,18.2,High,NHAI Railways Phase 0026
PRJ0027,Power,Indian Railways,80.93,36,2022-06-18,69.5,49.9,49.1,24.5,10.1,Medium,Indian Railways Power Phase 0027
PRJ0028,Irrigation,Municipal Corporation,72.45,24,2021-06-21,117.8,101.3,95.8,24.1,7.2,Medium,Municipal Corporation Irrigation Phase 0028
PRJ0029,Urban Infrastructure,Indian Railways,65.47,12,2021-04-18,89.7,64.1,58.1,14.9,3.2,Medium,Indian Railways Urban Infrastructure Phase 0029
PRJ0030,Urban Infrastructure,State PWD,180.88,24,2022-10-17,53.7,45.6,33.3,19.0,4.6,Medium,State PWD Urban Infrastructure Phase 0030
PRJ0031,Power,Municipal Corporation,12.95,36,2020-03-27,50.3,31.8,27.0,11.1,9.9,Medium,Municipal Corporation Power Phase 0031
PRJ0032,Railways,NHAI,64.9,24,2020-03-07,40.3,27.1,27.9,23.8,8.8,High,NHAI Railways Phase 0032
PRJ0033,Irrigation,CPWD,14.85,12,2020-09-07,40.1,25.6,20.7,22.3,2.4,Medium,CPWD Irrigation Phase 0033
PRJ0034,Irrigation,Indian Railways,182.45,36,2022-02-17,35.0,26.2,24.1,28.2,7.2,Medium,Indian Railways Irrigation Phase 0034
PRJ0035,Irrigation,State PWD,43.7,24,2023-08-20,93.3,70.5,65.2,24.2,11.3,High,State PWD Irrigation Phase 0035
PRJ0036,Irrigation,Municipal Corporation,6.38,24,2023-09-27,129.6,87.9,63.7,34.0,14.4,High,Municipal Corporation Irrigation Phase 0036
PRJ0037,Roads & Highways,Indian Railways,144.53,12,2023-01-06,61.0,39.5,37.3,14.5,4.3,Medium,Indian Railways Roads & Highways Phase 0037
PRJ0038,Urban Infrastructure,NHAI,76.56,48,2020-05-22,49.5,44.6,43.8,12.9,5.7,Medium,NHAI Urban Infrastructure Phase 0038
PRJ0039,Railways,NHAI,26.15,60,2023-03-26,77.2,69.5,67.0,26.9,14.4,Medium,NHAI Railways Phase 0039
PRJ0040,Irrigation,NTPC,55.87,12,2019-04-07,135.4,127.2,104.8,25.3,4.7,High,NTPC Irrigation Phase 0040
PRJ0041,Urban Infrastructure,NTPC,21.36,12,2021-12-20,90.9,62.3,64.2,17.0,2.9,Medium,NTPC Urban Infrastructure Phase 0041
PRJ0042,Irrigation,Indian Railways,71.83,60,2023-11-28,36.1,32.3,28.8,23.7,11.0,Medium,Indian Railways Irrigation Phase 0042
PRJ0043,Roads & Highways,State PWD,41.09,18,2020-12-14,128.1,84.4,74.2,28.2,9.4,High,State PWD Roads & Highways Phase 0043
PRJ0044,Irrigation,NHAI,10.94,48,2020-03-02,129.8,108.6,89.4,25.5,23.7,High,NHAI Irrigation Phase 0044
PRJ0045,Urban Infrastructure,CPWD,17.79,18,2021-02-21,57.9,44.1,39.7,19.1,5.2,Medium,CPWD Urban Infrastructure Phase 0045
PRJ0046,Roads & Highways,NHAI,127.13,36,2020-03-03,74.0,58.6,42.7,5.6,12.8,Medium,NHAI Roads & Highways Phase 0046
PRJ0047,Railways,Municipal Corporation,57.41,18,2019-03-20,131.7,127.4,100.5,28.9,6.1,High,Municipal Corporation Railways Phase 0047
PRJ0048,Roads & Highways,NHAI,69.33,36,2021-03-29,99.0,82.6,83.8,24.1,5.2,Medium,NHAI Roads & Highways Phase 0048
PRJ0049,Railways,Municipal Corporation,14.44,18,2020-04-23,69.6,49.0,42.1,33.1,8.8,High,Municipal Corporation Railways Phase 0049
PRJ0050,Irrigation,State PWD,10.57,60,2023-01-20,134.5,119.7,109.5,26.0,18.5,Medium,State PWD Irrigation Phase 0050
PRJ0051,Railways,NTPC,199.81,60,2019-09-28,95.4,71.7,74.6,24.8,17.9,Medium,NTPC Railways Phase 0051
PRJ0052,Railways,NHAI,74.19,24,2020-05-07,36.2,34.2,33.7,27.7,4.0,Medium,NHAI Railways Phase 0052
PRJ0053,Irrigation,Indian Railways,33.28,24,2019-08-21,134.9,113.7,88.7,31.3,13.2,High,Indian Railways Irrigation Phase 0053
PRJ0054,Urban Infrastructure,Indian Railways,297.53,24,2021-05-07,121.5,87.8,86.6,26.7,10.4,High,Indian Railways Urban Infrastructure Phase 0054
PRJ0055,Irrigation,State PWD,193.37,60,2022-01-16,137.9,116.2,107.3,30.1,20.1,High,State PWD Irrigation Phase 0055
PRJ0056,Railways,Municipal Corporation,62.06,24,2021-03-22,130.2,93.6,82.7,36.0,13.1,High,Municipal Corporation Railways Phase 0056
PRJ0057,Railways,NHAI,8.38,24,2023-10-31,84.2,61.6,56.8,24.7,8.1,Medium,NHAI Railways Phase 0057
PRJ0058,Roads & Highways,NTPC,50.26,12,2022-02-27,50.0,36.9,37.4,22.4,1.4,Medium,NTPC Roads & Highways Phase 0058
PRJ0059,Railways,State PWD,30.47,18,2019-06-09,43.3,33.9,26.2,18.9,4.8,Medium,State PWD Railways Phase 0059
