project_id,sector,implementing_agency,sanctioned_cost_cr,sanctioned_duration_months,start_date,elapsed_time_pct,fund_utilization_pct,physical_progress_pct,cost_overrun_pct,delay_months,risk_label
PRJ0001,Urban Infrastructure,State PWD,99.3,24,2021-03-13,0.41,0.321,0.262,0.126,5.1,Medium
PRJ0002,Irrigation,Indian Railways,19.65,36,2023-08-17,0.301,0.3,0.275,0.172,4.1,Medium
PRJ0003,Railways,Municipal Corporation,69.71,24,2023-11-05,0.813,0.768,0.72,0.179,4.4,Medium
PRJ0004,Roads & Highways,Municipal Corporation,52.84,24,2020-11-24,0.318,0.22,0.172,0.174,6.5,Medium
PRJ0005,Power,CPWD,14.7,36,2021-02-04,0.529,0.437,0.311,0.187,9.8,Medium
PRJ0006,Railways,CPWD,204.58,60,2022-08-02,0.659,0.546,0.482,0.278,18.5,Medium
PRJ0007,Railways,NHAI,79.68,12,2022-12-14,0.382,0.38,0.369,0.111,2.5,Medium
PRJ0008,Power,NTPC,144.97,36,2019-05-14,0.694,0.449,0.45,0.165,12.5,Medium
PRJ0009,Irrigation,NTPC,9.66,24,2020-11-20,1.369,1.286,1.2,0.236,4.8,Medium
PRJ0010,Power,NHAI,21.58,36,2019-07-19,0.783,0.533,0.54,0.347,9.2,High
PRJ0011,Urban Infrastructure,CPWD,75.75,24,2020-01-01,1.337,1.123,1.059,0.133,7.5,Medium
PRJ0012,Roads & Highways,State PWD,146.39,48,2022-12-17,0.505,0.484,0.43,0.093,5.1,Low
PRJ0013,Roads & Highways,NTPC,221.65,48,2019-01-13,0.862,0.661,0.514,0.197,15.5,Medium
PRJ0014,Power,CPWD,22.59,18,2021-10-01,0.744,0.466,0.367,0.29,5.7,High
PRJ0015,Power,NHAI,33.58,18,2022-02-15,1.049,0.852,0.73,0.232,9.7,High
PRJ0016,Power,NTPC,211.65,18,2022-12-16,0.817,0.812,0.682,0.252,4.7,Medium
PRJ0017,Roads & Highways,Municipal Corporation,458.16,48,2020-08-09,0.542,0.48,0.472,0.193,4.3,Medium
PRJ0018,Roads & Highways,NHAI,40.57,24,2021-07-20,1.221,1.063,1.018,0.149,3.1,Medium
PRJ0019,Railways,NTPC,27.44,60,2021-07-18,0.587,0.586,0.608,0.159,9.1,Medium
PRJ0020,Roads & Highways,NHAI,64.56,18,2022-07-30,1.287,1.229,1.195,0.082,2.7,Low
PRJ0021,Urban Infrastructure,CPWD,139.69,24,2023-08-20,1.371,0.978,0.789,0.363,8.5,High
PRJ0022,Irrigation,NHAI,22.57,18,2019-02-02,0.843,0.566,0.469,0.301,8.8,High
PRJ0023,Roads & Highways,Municipal Corporation,665.59,18,2021-11-27,1.377,1.094,1.113,0.286,1.9,Medium
PRJ0024,Roads & Highways,Municipal Corporation,21.5,36,2023-04-05,0.553,0.442,0.398,0.122,6.8,Medium
PRJ0025,Irrigation,CPWD,47.63,60,2023-10-01,1.238,0.889,0.742,0.331,29.9,High
PRJ0026,Railways,NHAI,140.06,24,2023-02-28,1.323,0.831,0.643,0.321,18.2,High
PRJ0027,Power,Indian Railways,80.93,36,2022-06-18,0.695,0.499,0.491,0.245,10.1,Medium
PRJ0028,Irrigation,Municipal Corporation,72.45,24,2021-06-21,1.178,1.013,0.958,0.241,7.2,Medium
PRJ0029,Urban Infrastructure,Indian Railways,65.47,12,2021-04-18,0.897,0.641,0.581,0.149,3.2,Medium
PRJ0030,Urban Infrastructure,State PWD,180.88,24,2022-10-17,0.537,0.456,0.333,0.19,4.6,Medium
PRJ0031,Power,Municipal Corporation,12.95,36,2020-03-27,0.503,0.318,0.27,0.111,9.9,Medium
PRJ0032,Railways,NHAI,64.9,24,2020-03-07,0.403,0.271,0.279,0.238,8.8,High
PRJ0033,Irrigation,CPWD,14.85,12,2020-09-07,0.401,0.256,0.207,0.223,2.4,Medium
PRJ0034,Irrigation,Indian Railways,182.45,36,2022-02-17,0.35,0.262,0.241,0.282,7.2,Medium
PRJ0035,Irrigation,State PWD,43.7,24,2023-08-20,0.933,0.705,0.652,0.242,11.3,High
PRJ0036,Irrigation,Municipal Corporation,6.38,24,2023-09-27,1.296,0.879,0.637,0.34,14.4,High
PRJ0037,Roads & Highways,Indian Railways,144.53,12,2023-01-06,0.61,0.395,0.373,0.145,4.3,Medium
PRJ0038,Urban Infrastructure,NHAI,76.56,48,2020-05-22,0.495,0.446,0.438,0.129,5.7,Medium
PRJ0039,Railways,NHAI,26.15,60,2023-03-26,0.772,0.695,0.67,0.269,14.4,Medium
PRJ0040,Irrigation,NTPC,55.87,12,2019-04-07,1.354,1.272,1.048,0.253,4.7,High
PRJ0041,Urban Infrastructure,NTPC,21.36,12,2021-12-20,0.909,0.623,0.642,0.17,2.9,Medium
PRJ0042,Irrigation,Indian Railways,71.83,60,2023-11-28,0.361,0.323,0.288,0.237,11.0,Medium
PRJ0043,Roads & Highways,State PWD,41.09,18,2020-12-14,1.281,0.844,0.742,0.282,9.4,High
PRJ0044,Irrigation,NHAI,10.94,48,2020-03-02,1.298,1.086,0.894,0.255,23.7,High
PRJ0045,Urban Infrastructure,CPWD,17.79,18,2021-02-21,0.579,0.441,0.397,0.191,5.2,Medium
PRJ0046,Roads & Highways,NHAI,127.13,36,2020-03-03,0.74,0.586,0.427,0.056,12.8,Medium
PRJ0047,Railways,Municipal Corporation,57.41,18,2019-03-20,1.317,1.274,1.005,0.289,6.1,High
PRJ0048,Roads & Highways,NHAI,69.33,36,2021-03-29,0.99,0.826,0.838,0.241,5.2,Medium
PRJ0049,Railways,Municipal Corporation,14.44,18,2020-04-23,0.696,0.49,0.421,0.331,8.8,High
PRJ0050,Irrigation,State PWD,10.57,60,2023-01-20,1.345,1.197,1.095,0.26,18.5,Medium
PRJ0051,Railways,NTPC,199.81,60,2019-09-28,0.954,0.717,0.746,0.248,17.9,Medium
PRJ0052,Railways,NHAI,74.19,24,2020-05-07,0.362,0.342,0.337,0.277,4.0,Medium
PRJ0053,Irrigation,Indian Railways,33.28,24,2019-08-21,1.349,1.137,0.887,0.313,13.2,High
PRJ0054,Urban Infrastructure,Indian Railways,297.53,24,2021-05-07,1.215,0.878,0.866,0.267,10.4,High
PRJ0055,Irrigation,State PWD,193.37,60,2022-01-16,1.379,1.162,1.073,0.301,20.1,High
PRJ0056,Railways,Municipal Corporation,62.06,24,2021-03-22,1.302,0.936,0.827,0.36,13.1,High
PRJ0057,Railways,NHAI,8.38,24,2023-10-31,0.842,0.616,0.568,0.247,8.1,Medium
PRJ0058,Roads & Highways,NTPC,50.26,12,2022-02-27,0.5,0.369,0.374,0.224,1.4,Medium
PRJ0059,Railways,State PWD,30.47,18,2019-06-09,0.433,0.339,0.262,0.189,4.8,Medium
PRJ0060,Irrigation,NTPC,4.43,12,2022-12-09,0.991,0.627,0.63,0.294,3.9,High
PRJ0061,Roads & Highways,NTPC,30.46,24,2021-05-22,0.98,0.733,0.631,0.144,9.3,Medium
PRJ0062,Power,Municipal Corporation,18.42,12,2021-03-16,0.886,0.617,0.49,0.243,5.0,High
PRJ0063,Roads & Highways,NHAI,26.81,12,2023-05-22,0.953,0.831,0.811,0.067,0.7,Low
PRJ0064,Railways,NHAI,54.4,24,2020-11-12,0.671,0.644,0.588,0.211,2.2,Medium
PRJ0065,Irrigation,NHAI,36.69,18,2020-03-18,0.477,0.322,0.257,0.21,5.2,Medium
PRJ0066,Irrigation,Municipal Corporation,21.89,60,2023-06-02,0.934,0.903,0.634,0.239,21.8,High
PRJ0067,Power,CPWD,60.9,24,2020-05-18,1.146,0.774,0.629,0.329,12.9,High
PRJ0068,Roads & Highways,Municipal Corporation,2.68,12,2022-01-04,0.617,0.514,0.388,0.277,0.5,Medium
PRJ0069,Roads & Highways,CPWD,21.19,12,2023-11-17,0.655,0.605,0.477,0.109,4.0,Medium
PRJ0070,Power,CPWD,127.59,24,2020-09-19,1.322,1.233,1.2,0.225,4.0,Medium
PRJ0071,Roads & Highways,Indian Railways,93.4,48,2019-09-09,1.175,0.8,0.606,0.32,25.1,High
PRJ0072,Power,CPWD,34.36,24,2020-10-07,1.265,0.958,0.944,0.135,7.2,Medium
PRJ0073,Power,State PWD,173.6,24,2020-02-22,1.29,0.972,0.865,0.249,11.0,High
PRJ0074,Power,CPWD,127.48,60,2022-02-03,0.668,0.438,0.429,0.267,21.2,High
PRJ0075,Power,Municipal Corporation,158.71,12,2020-01-04,1.085,0.866,0.835,0.28,3.8,Medium
PRJ0076,Urban Infrastructure,State PWD,19.26,12,2020-12-16,1.177,0.777,0.606,0.295,7.8,High
PRJ0077,Power,NTPC,356.66,24,2023-01-28,1.355,0.999,0.779,0.391,11.1,High
PRJ0078,Power,Municipal Corporation,28.06,60,2019-09-08,0.411,0.289,0.275,0.146,13.1,Medium
PRJ0079,Urban Infrastructure,State PWD,69.31,18,2021-11-03,0.967,0.745,0.713,0.2,3.4,Medium
PRJ0080,Irrigation,Indian Railways,47.54,48,2019-08-13,1.313,1.245,1.097,0.139,16.0,Medium
PRJ0081,Roads & Highways,State PWD,177.34,12,2020-08-23,0.738,0.601,0.615,0.117,0.0,Low
